Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,Hashtags,Mentions,Media Type,,
1448031122370310158,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",Gianni 🇮🇹,LaC2Vance,2021-10-12T21:01:37.000Z,Tue Oct 12 21:01:37 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448030775341948930,"RT @Alenize82 : Il possibile ingaggio di #Mirante da parte del #Milan non credo sia una bocciatura per #Tatarusanu (tanto in #ChampionsLeague deve giocare il rumeno), quanto un discorso numerico. Infortunio lungo per #Plizzari, e #Maignan fuori un mesetto scarso (a occhio). C'è solo 'Tata'",Marco GiamBah,YBah96,2021-10-12T21:00:14.000Z,Tue Oct 12 21:00:14 +0000 2021,0,0,it,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,6,0,,,
1448029876267667464,"58th hat-rick
10th international hat-rick
115th international goal
The greatest to grace the game👑❤️ #CristianoRonaldo #vivaronaldo #Portugal #hatrick #BallonDor2021 #kingoffootball #idol #goat #suuii #ManchesterUnited #PremierLeague #ChampionsLeague #nossorei https://t.co/Pxp9432f1v",Murisha_7,Murisha_7,2021-10-12T20:56:40.000Z,Tue Oct 12 20:56:40 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,13,0,photo,,
1448029198757548044,"RT @robaboian_ : Erik Ten Hag, entrenador del #Ajax, hablando del equipo que revolucionó en la #ChampionsLeague en 2019 con su juego super vistoso:

""Todos los jugadores están involucrados, generar el espacio para jugar en equipo""

El subtitulado es mío. Si te gustó, podes dejar tu RT o me gusta. https://t.co/d9enx3phew",BerniPM,berni_pm,2021-10-12T20:53:58.000Z,Tue Oct 12 20:53:58 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,2,0,video,,
1448029179723849728,RT @Iamrevolting : 4-1 #RealMadrid #championsleague,Milly Tent,Iamrevolting2,2021-10-12T20:53:54.000Z,Tue Oct 12 20:53:54 +0000 2021,0,0,und,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,2,0,,,
1448028633826791427,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",1312 🖕🏾🚨,Mr_Brdys,2021-10-12T20:51:44.000Z,Tue Oct 12 20:51:44 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448028415236395013,"#ChampionsLeague #HockeyGhiaccio
#Bolzano 3-4 #Salisburgo 2ts
2º 13 #Bolzano
Gruppo H
#CHL #hockeyghiaccio
#sport #notizie #news 🏒🥅",Daniele Raponi,DanieleRaponi,2021-10-12T20:50:51.000Z,Tue Oct 12 20:50:51 +0000 2021,0,0,pt,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,10,0,,,
1448028391786090499,"RT @robaboian_ : Erik Ten Hag, entrenador del #Ajax, hablando del equipo que revolucionó en la #ChampionsLeague en 2019 con su juego super vistoso:

""Todos los jugadores están involucrados, generar el espacio para jugar en equipo""

El subtitulado es mío. Si te gustó, podes dejar tu RT o me gusta. https://t.co/d9enx3phew",Lebogang Ramatlotlo,zolaone11,2021-10-12T20:50:46.000Z,Tue Oct 12 20:50:46 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,2,0,video,,
1448027827471896591,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",MCNNN❤️💙,psg_bastien,2021-10-12T20:48:31.000Z,Tue Oct 12 20:48:31 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448027788502450176,No player will ever achieve the greatness of Ronaldo or Messi playing in Bundesliga or league 1. #Ronaldo #messi #ChampionsLeague #GOAT #FUT22 #neymar #Mbappe,96vintxge,96vintxge,2021-10-12T20:48:22.000Z,Tue Oct 12 20:48:22 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,7,0,,,
1448027484835008517,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",diakhite mamadou,DiakhiteM,2021-10-12T20:47:10.000Z,Tue Oct 12 20:47:10 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448027163333206025,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",psg bala,psg_bala,2021-10-12T20:45:53.000Z,Tue Oct 12 20:45:53 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,3,2,video,,
1448027063005372418,"Cristiano Ronaldo seals his 10th hat-trick for Portugal. 

He is now the record holder for most international hat-tricks. 🐐
#ChampionsLeague 
#Portugal 
#CristianoRonaldo 
#Ronaldo 
#Cristiano Ronaldo 
🐐👑 https://t.co/0dRm9pDb5u",KHANXADA SKA,KhanxadaSka,2021-10-12T20:45:29.000Z,Tue Oct 12 20:45:29 +0000 2021,1,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,5,0,photo,,
1448026823464472578,"CRISTIANO RONALDO IS NOW THE ALL-TIME LEADER IN MEN'S INTERNATIONAL HAT-TRICKS WITH 10 🎩 

#ChampionsLeague Ajax Juventus https://t.co/dHdg4MUMsQ",LawrettSurebet,Lawrett89725971,2021-10-12T20:44:32.000Z,Tue Oct 12 20:44:32 +0000 2021,3,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Tweet,1,0,photo,,
1448026732683042819,"RT @UEFAcom_fr : Nous sommes le 1️⃣2️⃣

1️⃣2️⃣, c'est pile le nombre de secondes ⏱️ qu'a duré ce contre mythique du @PSG_inside 🔵🔴 conclu avec maestria par @KMbappe en #ChampionsLeague 😎🤩 

#UCL  #LDC https://t.co/jmCUlvBagu",#RedemptionSZN,Anthobaks,2021-10-12T20:44:10.000Z,Tue Oct 12 20:44:10 +0000 2021,0,0,fr,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,3,2,video,,
1448026503577473029,"RT @robaboian_ : Erik Ten Hag, entrenador del #Ajax, hablando del equipo que revolucionó en la #ChampionsLeague en 2019 con su juego super vistoso:

""Todos los jugadores están involucrados, generar el espacio para jugar en equipo""

El subtitulado es mío. Si te gustó, podes dejar tu RT o me gusta. https://t.co/d9enx3phew",El Rodri,novelorodrigo,2021-10-12T20:43:16.000Z,Tue Oct 12 20:43:16 +0000 2021,0,0,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,2,0,video,,
